person_name,role,company,company_country,industry,person_website,company_website,linkedin_profile,company_linkedin,wikidata_person,wikidata_company,info_link,cluster_id,cluster_label,cluster_reason,best_contact_email,best_contact_url,best_contact_type,sources
Tina Nigro,Founder,Opuscope,France,computer programming,,http://opuscope.com,https://www.linkedin.com/in/thomasnigro,,http://www.wikidata.org/entity/Q109910960,http://www.wikidata.org/entity/Q109910953,https://www.google.com/search?q=Tina+Nigro+Opuscope,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@opuscope.com,http://opuscope.com/legal/privacy-policy,press,wikidata
Julius Pohlig,Founder,J. Pohlig AG,Germany,Manufacture of lifting and handling equipment,,,,,http://www.wikidata.org/entity/Q109935,http://www.wikidata.org/entity/Q107135935,https://www.google.com/search?q=Julius+Pohlig+J.+Pohlig+AG,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Jos Neuss,Founder,Wagenfabrik Jos. Neuss,Germany,automotive industry,,,,,http://www.wikidata.org/entity/Q109940461,http://www.wikidata.org/entity/Q2539060,https://www.google.com/search?q=Jos+Neuss+Wagenfabrik+Jos.+Neuss,C0005,,"Shared group: industries=automotive industry; countries=Germany; companies=Augmentation Industries, Groupe BMW",,,,wikidata
Rob. Ermekeil,Founder,Q111366561,Germany,,,,,,http://www.wikidata.org/entity/Q109940664,http://www.wikidata.org/entity/Q111366561,https://www.google.com/search?q=Rob.+Ermekeil+Q111366561,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Willy Erdmann,Founder,Erdmann & Rossi,Germany,,,https://www.erdmann-rossi.com/,,,http://www.wikidata.org/entity/Q109940754,http://www.wikidata.org/entity/Q834363,https://www.google.com/search?q=Willy+Erdmann+Erdmann+%26+Rossi,C0052,,Shared group: industries=; countries=Germany; companies=Erdmann & Rossi,info@erdmann-rossi.com,https://www.erdmann-rossi.com/impressum/,press,wikidata
François Gaultier,Founder,Q110628376,France,,,,,,http://www.wikidata.org/entity/Q109981568,http://www.wikidata.org/entity/Q110628376,https://www.google.com/search?q=Fran%C3%A7ois+Gaultier+Q110628376,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Clemens Tönnies,CEO,Tönnies Holding,Germany,food industry,,http://www.toennies.de,,https://www.linkedin.com/company/tönnies-holding-gmbh-co-kg,http://www.wikidata.org/entity/Q1100117,http://www.wikidata.org/entity/Q2464046,https://www.google.com/search?q=Clemens+T%C3%B6nnies+T%C3%B6nnies+Holding,C0011,,"Shared group: industries=food industry; countries=Germany, France; companies=Tönnies Holding, Deutsche Frühstücksei",,https://www.toennies.de/wp-content/plugins/wpcf7-redirect/build/assets/frontend-script.css?ver=2c532d7e2be36f6af233,investor_relations,wikidata
Louis Delage,Founder,Delage,France,,,https://www.delage-automobiles.com/,,,http://www.wikidata.org/entity/Q110031005,http://www.wikidata.org/entity/Q27550,https://www.google.com/search?q=Louis+Delage+Delage,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
L. Rouff,Founder,Rouff,France,,,,,,http://www.wikidata.org/entity/Q110036731,http://www.wikidata.org/entity/Q64851165,https://www.google.com/search?q=L.+Rouff+Rouff,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Friedrich Christian Flick,Founder,Friedrich Christian Flick Collection,Germany,,,http://www.fcflick-collection.com/current,,,http://www.wikidata.org/entity/Q110057,http://www.wikidata.org/entity/Q872442,https://www.google.com/search?q=Friedrich+Christian+Flick+Friedrich+Christian+Flick+Collection,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Gathmann Hermanos,Founder,Gathmann,Germany,,,http://www.gathmann.com/,,,http://www.wikidata.org/entity/Q110085343,http://www.wikidata.org/entity/Q109939644,https://www.google.com/search?q=Gathmann+Hermanos+Gathmann,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Jean-Louis Vandestoc,Founder,Yapiko Animation,France,production de films institutionnels et publicitaires,,https://yapiko.fr/,https://www.linkedin.com/in/jlvandestoc,,http://www.wikidata.org/entity/Q110210986,http://www.wikidata.org/entity/Q110211034,https://www.google.com/search?q=Jean-Louis+Vandestoc+Yapiko+Animation,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@yapiko-animation.com,https://yapiko.fr/contact-2/,contact,wikidata
Erich Basarke,Founder,Zapp und Basarke,Germany,,,,,,http://www.wikidata.org/entity/Q110217,http://www.wikidata.org/entity/Q130321128,https://www.google.com/search?q=Erich+Basarke+Zapp+und+Basarke,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Édouard Niermans,Founder,Les Frères Niermans,France,,,,,,http://www.wikidata.org/entity/Q110223692,http://www.wikidata.org/entity/Q135067512,https://www.google.com/search?q=%C3%89douard+Niermans+Les+Fr%C3%A8res+Niermans,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Georg Konrad Walther,Founder,Walthersche Hofbuchhandlung,Germany,,,,,,http://www.wikidata.org/entity/Q110225608,http://www.wikidata.org/entity/Q135273377,https://www.google.com/search?q=Georg+Konrad+Walther+Walthersche+Hofbuchhandlung,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Wolfgang Besemer,Founder,Hannover Concerts,Germany,,,http://www.hannover-concerts.de/,,,http://www.wikidata.org/entity/Q110243024,http://www.wikidata.org/entity/Q21036347,https://www.google.com/search?q=Wolfgang+Besemer+Hannover+Concerts,C0053,,Shared group: industries=; countries=Germany; companies=Hannover Concerts,,,,wikidata
Anaël Guyomarc'h,Founder,Paritito,France,creative industries,,http://paritito.com,,,http://www.wikidata.org/entity/Q110247003,http://www.wikidata.org/entity/Q110246969,https://www.google.com/search?q=Ana%C3%ABl+Guyomarc%27h+Paritito,C0014,,"Shared group: industries=creative industries; countries=France, Germany; companies=La Muse en circuit, Atelier théâtre de l'École alsacienne",,https://paritito.com/wp-content/themes/nirvana/style.css?ver=1.5.2,investor_relations,wikidata
Peter Unger,Founder,ATU,Germany,retail,,https://www.atu.de/,,,http://www.wikidata.org/entity/Q110269,http://www.wikidata.org/entity/Q784721,https://www.google.com/search?q=Peter+Unger+ATU,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Klaus Steilmann,Founder,Steilmann,Germany,textile industry,,http://www.steilmann-se.com,,,http://www.wikidata.org/entity/Q110280,http://www.wikidata.org/entity/Q835969,https://www.google.com/search?q=Klaus+Steilmann+Steilmann,C0012,,"Shared group: industries=textile industry; countries=Germany, France; companies=Steilmann, J. P. Bemberg",,,,wikidata
August Brenninkmeijer,Founder,C&A,Germany,retail,,https://www.c-and-a.com/,,,http://www.wikidata.org/entity/Q110314530,http://www.wikidata.org/entity/Q701338,https://www.google.com/search?q=August+Brenninkmeijer+C%26A,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",director@centroarbitragemlisboa.pt,https://www.c-and-a.com/de/de/corporate/company/kontakt,investor_relations,wikidata
Franz Junkersdorf,Founder,porcelain factory Franz Junkersdorf,Germany,,,,,,http://www.wikidata.org/entity/Q110370248,http://www.wikidata.org/entity/Q109940183,https://www.google.com/search?q=Franz+Junkersdorf+porcelain+factory+Franz+Junkersdorf,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Robert Richter,Founder,Arri,Germany,film equipment industry,,https://www.arri.com/en,,https://www.linkedin.com/company/Arri,http://www.wikidata.org/entity/Q110398,http://www.wikidata.org/entity/Q11207,https://www.google.com/search?q=Robert+Richter+Arri,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",enquiry@tsm-int.com,https://www.arri.com/en/contact,investor_relations,wikidata
Tino Keller,Founder,Spickmich,Germany,social networking service,,http://spickmich.de/,,,http://www.wikidata.org/entity/Q110454896,http://www.wikidata.org/entity/Q155175,https://www.google.com/search?q=Tino+Keller+Spickmich,C0039,,Shared group: industries=social networking service; countries=Germany; companies=Spickmich,,,,wikidata
Johann Michael Bast,Founder,Bast,Germany,manufacture of other food products n.e.c.,,,,,http://www.wikidata.org/entity/Q110484535,http://www.wikidata.org/entity/Q22671529,https://www.google.com/search?q=Johann+Michael+Bast+Bast,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Bernd Jansen,Founder,"Bangert, Jansen, Scholz, Schultes",Germany,,,,,,http://www.wikidata.org/entity/Q110490030,http://www.wikidata.org/entity/Q123510785,https://www.google.com/search?q=Bernd+Jansen+Bangert%2C+Jansen%2C+Scholz%2C+Schultes,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Henri Béghin,Founder,Béghin,France,,,,,,http://www.wikidata.org/entity/Q110508697,http://www.wikidata.org/entity/Q113833687,https://www.google.com/search?q=Henri+B%C3%A9ghin+B%C3%A9ghin,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Ferdinand Béghin,Founder,Béghin,France,,,,,,http://www.wikidata.org/entity/Q110508699,http://www.wikidata.org/entity/Q113833687,https://www.google.com/search?q=Ferdinand+B%C3%A9ghin+B%C3%A9ghin,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
August Brötje,Founder,August Brötje GmbH,Germany,,,http://www.broetje.de/,,,http://www.wikidata.org/entity/Q110516598,http://www.wikidata.org/entity/Q761022,https://www.google.com/search?q=August+Br%C3%B6tje+August+Br%C3%B6tje+GmbH,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",presse@broetje.de,http://www.broetje.de/unternehmen/presse,press,wikidata
Albin Höllinger,Founder,Musikalienhandlung Albin Höllinger,Germany,,,,,,http://www.wikidata.org/entity/Q110550695,http://www.wikidata.org/entity/Q118760769,https://www.google.com/search?q=Albin+H%C3%B6llinger+Musikalienhandlung+Albin+H%C3%B6llinger,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Karl Birkenstock,CEO,Birkenstock,Germany,footwear industry,,https://www.birkenstock.com/,,,http://www.wikidata.org/entity/Q110575517,http://www.wikidata.org/entity/Q648458,https://www.google.com/search?q=Karl+Birkenstock+Birkenstock,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",privacy@birkenstock.com,https://www.birkenstock.com/,investor_relations,wikidata
Norbert Neumann,Founder,m+n-Reprise,Germany,,,,,,http://www.wikidata.org/entity/Q110584871,http://www.wikidata.org/entity/Q116636534,https://www.google.com/search?q=Norbert+Neumann+m%2Bn-Reprise,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Louis Raison,Founder,Loïc Raison,France,fabrication de cidre et de vins de fruits,,http://www.loicraison.fr,,,http://www.wikidata.org/entity/Q110615583,http://www.wikidata.org/entity/Q18016299,https://www.google.com/search?q=Louis+Raison+Lo%C3%AFc+Raison,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@eclorsa.com,https://www.loicraison.fr/mentions-legales/,legal,wikidata
Antoine-Louis Lefèvre,Founder,Lefèvre-Denise,France,food industry,,http://www.lefevre-lemoine.fr/,,,http://www.wikidata.org/entity/Q110620724,http://www.wikidata.org/entity/Q3229027,https://www.google.com/search?q=Antoine-Louis+Lef%C3%A8vre+Lef%C3%A8vre-Denise,C0011,,"Shared group: industries=food industry; countries=Germany, France; companies=Tönnies Holding, Deutsche Frühstücksei",,https://www.lefevre-lemoine.fr/contact.html,contact,wikidata
Mark Buxton,Founder,Mark Buxton Perfumes,France,perfumery,,https://markbuxton.com,https://www.linkedin.com/in/mark-buxton,,http://www.wikidata.org/entity/Q110635075,http://www.wikidata.org/entity/Q110635144,https://www.google.com/search?q=Mark+Buxton+Mark+Buxton+Perfumes,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",contact@markbuxton.com,https://markbuxton.com/contact-us/,contact,wikidata
Noah Rott,Founder,JazzLab,Germany,,https://www.noahrott.de/english/,https://jazzlab.info/,,,http://www.wikidata.org/entity/Q110724077,http://www.wikidata.org/entity/Q110724357,https://www.google.com/search?q=Noah+Rott+JazzLab,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://jazzlab.info/media/,press,wikidata
Axel Schultes,Founder,"Bangert, Jansen, Scholz, Schultes",Germany,,,,,,http://www.wikidata.org/entity/Q110798,http://www.wikidata.org/entity/Q123510785,https://www.google.com/search?q=Axel+Schultes+Bangert%2C+Jansen%2C+Scholz%2C+Schultes,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
André Hartmann,Founder,Manufactures Hartmann et Fils,France,textile industry,,,,,http://www.wikidata.org/entity/Q110839582,http://www.wikidata.org/entity/Q118978799,https://www.google.com/search?q=Andr%C3%A9+Hartmann+Manufactures+Hartmann+et+Fils,C0012,,"Shared group: industries=textile industry; countries=Germany, France; companies=Steilmann, J. P. Bemberg",,,,wikidata
Charles Demery,Founder,Souleiado,France,textile industry,,https://www.souleiado.com,,,http://www.wikidata.org/entity/Q110842782,http://www.wikidata.org/entity/Q65557417,https://www.google.com/search?q=Charles+Demery+Souleiado,C0012,,"Shared group: industries=textile industry; countries=Germany, France; companies=Steilmann, J. P. Bemberg",,https://www.souleiado.com/fr/maison/voir-tout,investor_relations,wikidata
Gerhard Diedrich Wempe,Founder,Wempe,Germany,retail,,http://www.wempe.de/,,,http://www.wikidata.org/entity/Q110854917,http://www.wikidata.org/entity/Q1483424,https://www.google.com/search?q=Gerhard+Diedrich+Wempe+Wempe,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Jürgen Trösch,Founder,Arthouse-Saar,Germany,,,,,,http://www.wikidata.org/entity/Q110871202,http://www.wikidata.org/entity/Q110952482,https://www.google.com/search?q=J%C3%BCrgen+Tr%C3%B6sch+Arthouse-Saar,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Julius Graebner,Founder,Schilling & Graebner,Germany,professional service,,,,,http://www.wikidata.org/entity/Q110880,http://www.wikidata.org/entity/Q2235853,https://www.google.com/search?q=Julius+Graebner+Schilling+%26+Graebner,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Peter Scheurer,Founder,P. Scheurer & Co,Germany,,,,,,http://www.wikidata.org/entity/Q110905558,http://www.wikidata.org/entity/Q109940601,https://www.google.com/search?q=Peter+Scheurer+P.+Scheurer+%26+Co,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Peter Brückner,Founder,Brückner & Brückner Architekten,Germany,,https://www.bruecknerundbrueckner.de/,,,,http://www.wikidata.org/entity/Q110937320,http://www.wikidata.org/entity/Q19796717,https://www.google.com/search?q=Peter+Br%C3%BCckner+Br%C3%BCckner+%26+Br%C3%BCckner+Architekten,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Herbert Reichel,Founder,Herbert Reichel,Germany,textile industry,,,,,http://www.wikidata.org/entity/Q110943872,http://www.wikidata.org/entity/Q1608954,https://www.google.com/search?q=Herbert+Reichel+Herbert+Reichel,C0012,,"Shared group: industries=textile industry; countries=Germany, France; companies=Steilmann, J. P. Bemberg",,,,wikidata
Stefan Sichermann,CEO,Steckenpferd Enterprises UG,Germany,,,,,,http://www.wikidata.org/entity/Q110945058,http://www.wikidata.org/entity/Q121741291,https://www.google.com/search?q=Stefan+Sichermann+Steckenpferd+Enterprises+UG,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Heinrich Cloppenburg,Founder,Peek & Cloppenburg,Germany,retail,,https://www.peek-cloppenburg.de/,,,http://www.wikidata.org/entity/Q110973021,http://www.wikidata.org/entity/Q2066959,https://www.google.com/search?q=Heinrich+Cloppenburg+Peek+%26+Cloppenburg,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Clemens Brenninkmeijer,Founder,C&A,Germany,retail,,https://www.c-and-a.com/,,,http://www.wikidata.org/entity/Q110975649,http://www.wikidata.org/entity/Q701338,https://www.google.com/search?q=Clemens+Brenninkmeijer+C%26A,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",director@centroarbitragemlisboa.pt,https://www.c-and-a.com/de/de/corporate/company/kontakt,investor_relations,wikidata
Arthur Isaac,Founder,HEMA,France,retail,,https://www.hema.nl,,,http://www.wikidata.org/entity/Q110976804,http://www.wikidata.org/entity/Q903805,https://www.google.com/search?q=Arthur+Isaac+HEMA,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Leo Meyer,Founder,HEMA,France,retail,,https://www.hema.nl,,,http://www.wikidata.org/entity/Q110976950,http://www.wikidata.org/entity/Q903805,https://www.google.com/search?q=Leo+Meyer+HEMA,C0004,,"Shared group: industries=retail; countries=Germany, France; companies=ATU, Fielmann",,,,wikidata
Rolf Helbig,Founder,Helbig & Klöckner,Germany,,,,,,http://www.wikidata.org/entity/Q110977912,http://www.wikidata.org/entity/Q18923290,https://www.google.com/search?q=Rolf+Helbig+Helbig+%26+Kl%C3%B6ckner,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Albert Klöckner,Founder,Helbig & Klöckner,Germany,,,,,,http://www.wikidata.org/entity/Q110977913,http://www.wikidata.org/entity/Q18923290,https://www.google.com/search?q=Albert+Kl%C3%B6ckner+Helbig+%26+Kl%C3%B6ckner,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Stephan Leithner,CEO,Deutsche Börse,Germany,financial services,,https://www.deutsche-boerse.com,,https://www.linkedin.com/company/deutscheboerse,http://www.wikidata.org/entity/Q110985256,http://www.wikidata.org/entity/Q157852,https://www.google.com/search?q=Stephan+Leithner+Deutsche+B%C3%B6rse,C0023,,"Shared group: industries=financial services; countries=Germany, France; companies=Deutsche Börse, Stoic Money",ir@deutsche-boerse.com,https://www.deutsche-boerse.com/dbg-de/investor-relations,investor_relations,wikidata
Herberto Gut Beltramo,Founder,Prosegur,Germany,Cash-in-transit,,http://prosegur.de/,,,http://www.wikidata.org/entity/Q110996793,http://www.wikidata.org/entity/Q1533296,https://www.google.com/search?q=Herberto+Gut+Beltramo+Prosegur,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,http://prosegur.de/impressum,press,wikidata
Werner Hartmann,Founder,ZMDI,Germany,semiconductor industry,,,,,http://www.wikidata.org/entity/Q111033,http://www.wikidata.org/entity/Q191180,https://www.google.com/search?q=Werner+Hartmann+ZMDI,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Burkhard Lohr,CEO,K+S,Germany,mining,,https://www.kpluss.com/,,https://www.linkedin.com/company/427081,http://www.wikidata.org/entity/Q111034891,http://www.wikidata.org/entity/Q658173,https://www.google.com/search?q=Burkhard+Lohr+K%2BS,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,https://www.kpluss.com/en-us/newsroom/?reloaded&facet_tags=tags/ebitda/,press,wikidata
Oliver Steil,CEO,TeamViewer,Germany,,,https://www.teamviewer.com/de/,,,http://www.wikidata.org/entity/Q111042502,http://www.wikidata.org/entity/Q61740994,https://www.google.com/search?q=Oliver+Steil+TeamViewer,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
Daniel Grieder,CEO,Hugo Boss,Germany,textile industry,,https://group.hugoboss.com,,,http://www.wikidata.org/entity/Q111046482,http://www.wikidata.org/entity/Q491627,https://www.google.com/search?q=Daniel+Grieder+Hugo+Boss,C0012,,"Shared group: industries=textile industry; countries=Germany, France; companies=Steilmann, J. P. Bemberg",investor-relations@hugoboss.com,https://group.hugoboss.com/en/investors,investor_relations,wikidata
Karl Heilmeier,Founder,HAWE Hydraulik SE,Germany,,,https://www.hawe.com/,,,http://www.wikidata.org/entity/Q111046553,http://www.wikidata.org/entity/Q479845,https://www.google.com/search?q=Karl+Heilmeier+HAWE+Hydraulik+SE,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://www.hawe.com/company/news/trade-fair/,investor_relations,wikidata
Fama M'Boup,Founder,o-cetera,Germany,,https://famamboup.com/,https://o-cetera.com/,,,http://www.wikidata.org/entity/Q111080147,http://www.wikidata.org/entity/Q117071811,https://www.google.com/search?q=Fama+M%27Boup+o-cetera,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",info@o-cetera.com,https://o-cetera.com/olicia-shirt/,investor_relations,wikidata
Heinz-Jürgen Bertram,CEO,Symrise,Germany,chemical industry,,http://www.symrise.com/,,https://www.linkedin.com/company/symrise,http://www.wikidata.org/entity/Q111082720,http://www.wikidata.org/entity/Q73251,https://www.google.com/search?q=Heinz-J%C3%BCrgen+Bertram+Symrise,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",ir@symrise.com,http://www.symrise.com/,investor_relations,wikidata
Fritz Schupp,Founder,Schupp und Kremmer,Germany,,,,,,http://www.wikidata.org/entity/Q111145,http://www.wikidata.org/entity/Q109560416,https://www.google.com/search?q=Fritz+Schupp+Schupp+und+Kremmer,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,,,wikidata
August Andresen,Founder,Bakery Andresen,Germany,bakery,,https://baecker-andresen.de,,,http://www.wikidata.org/entity/Q111152791,http://www.wikidata.org/entity/Q111152310,https://www.google.com/search?q=August+Andresen+Bakery+Andresen,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://baecker-andresen.de/de/impressum,press,wikidata
Johann Philipp Holzmann,Founder,Philipp Holzmann,Germany,construction,,http://philipp-holzmann.de,,,http://www.wikidata.org/entity/Q1112030,http://www.wikidata.org/entity/Q884680,https://www.google.com/search?q=Johann+Philipp+Holzmann+Philipp+Holzmann,C0016,,"Shared group: industries=construction; countries=Germany; companies=Züblin, Bilfinger SE",sales@nicsell.com,http://philipp-holzmann.de/en/press,press,wikidata
Edwin Faller,Founder,Faller,Germany,game industry,,https://www.faller.de/,,,http://www.wikidata.org/entity/Q111292327,http://www.wikidata.org/entity/Q243673,https://www.google.com/search?q=Edwin+Faller+Faller,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://www.faller.de/marken/airfix/,investor_relations,wikidata
Hermann Faller,Founder,Faller,Germany,game industry,,https://www.faller.de/,,,http://www.wikidata.org/entity/Q111292404,http://www.wikidata.org/entity/Q243673,https://www.google.com/search?q=Hermann+Faller+Faller,C0001,,"Shared group: industries=Manufacture of wine from grape, manufacture of leather and related products; countries=Germany; companies=Atelier Kaiser Shen, 3PO Architekten",,https://www.faller.de/marken/airfix/,investor_relations,wikidata
Xavier Esteves,Founder,Partauto,France,Retail trade of motor vehicle parts and accessories,,https://www.partauto.fr,,,http://www.wikidata.org/entity/Q111328960,http://www.wikidata.org/entity/Q111328711,https://www.google.com/search?q=Xavier+Esteves+Partauto,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Samuel Fabre,Founder,Partauto,France,Retail trade of motor vehicle parts and accessories,,https://www.partauto.fr,,,http://www.wikidata.org/entity/Q111328961,http://www.wikidata.org/entity/Q111328711,https://www.google.com/search?q=Samuel+Fabre+Partauto,C0002,,"Shared group: industries=fast-food restaurants, édition de jeux électroniques; countries=France; companies=Société Gentil et Cie., Chicken Spot",,,,wikidata
Walter Baier,CEO,Webasto SE,Germany,automotive supplier,,http://www.webasto.com,,,http://www.wikidata.org/entity/Q111356255,http://www.wikidata.org/entity/Q319769,https://www.google.com/search?q=Walter+Baier+Webasto+SE,C0029,,"Shared group: industries=automotive supplier; countries=Germany; companies=Webasto SE, Hella",,http://www.webasto.com/en-int/heating/air-heater.html,investor_relations,wikidata
Georg Werner,Founder,Werner & Mertz,Germany,chemical industry,,https://www.werner-mertz.de/,,,http://www.wikidata.org/entity/Q111359886,http://www.wikidata.org/entity/Q872833,https://www.google.com/search?q=Georg+Werner+Werner+%26+Mertz,C0003,,"Shared group: industries=chemical industry, mining; countries=Germany, France; companies=Rosenthal, Kraul & Wilkening u. Stelling GmbH",,,,wikidata
Volker Eloesser,Founder,ESCAL Software GmbH,Germany,,,,https://www.linkedin.com/in/eloesser,,http://www.wikidata.org/entity/Q111363035,http://www.wikidata.org/entity/Q127271161,https://www.google.com/search?q=Volker+Eloesser+ESCAL+Software+GmbH,C0054,,Shared group: industries=; countries=Germany; companies=ESCAL Software GmbH,,,,wikidata
Charles Waseige,Founder,Air-Équipement,France,aerospace industry,,,,,http://www.wikidata.org/entity/Q111469077,http://www.wikidata.org/entity/Q111468963,https://www.google.com/search?q=Charles+Waseige+Air-%C3%89quipement,C0020,,"Shared group: industries=aerospace industry; countries=Germany, France; companies=Airbus DS Geo, Mynaric",,,,wikidata
